accession	Kingdom	Phylum	Class	Order	Family	Genus	OTU
K01576						benzoylformate decarboxylase [EC:4.1.1.7]	K01576
K01577						oxalyl-CoA decarboxylase [EC:4.1.1.8]	K01577
K01578						malonyl-CoA decarboxylase [EC:4.1.1.9]	K01578
K01579						aspartate 1-decarboxylase [EC:4.1.1.11]	K01579
K01580						glutamate decarboxylase [EC:4.1.1.15]	K01580
K01581						ornithine decarboxylase [EC:4.1.1.17]	K01581
K01584						arginine decarboxylase [EC:4.1.1.19]	K01584
K01585						arginine decarboxylase [EC:4.1.1.19]	K01585
K01586						diaminopimelate decarboxylase [EC:4.1.1.20]	K01586
K01588						5-(carboxyamino)imidazole ribonucleotide mutase [EC:5.4.99.18]	K01588
K01589						5-(carboxyamino)imidazole ribonucleotide synthase [EC:6.3.4.18]	K01589
K01590						histidine decarboxylase [EC:4.1.1.22]	K01590
K01591						orotidine-5'-phosphate decarboxylase [EC:4.1.1.23]	K01591
K01593						aromatic-L-amino-acid/L-tryptophan decarboxylase [EC:4.1.1.28 4.1.1.105]	K01593
K01595						phosphoenolpyruvate carboxylase [EC:4.1.1.31]	K01595
K01596						phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32]	K01596
K01597						diphosphomevalonate decarboxylase [EC:4.1.1.33]	K01597
K01598						phosphopantothenoylcysteine decarboxylase [EC:4.1.1.36]	K01598
K01599						uroporphyrinogen decarboxylase [EC:4.1.1.37]	K01599
K01601						ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39]	K01601
K01602						ribulose-bisphosphate carboxylase small chain [EC:4.1.1.39]	K01602
K01604						methylmalonyl-CoA decarboxylase subunit alpha [EC:7.2.4.3]	K01604
K01607						4-carboxymuconolactone decarboxylase [EC:4.1.1.44]	K01607
K01608						tartronate-semialdehyde synthase [EC:4.1.1.47]	K01608
K01609						indole-3-glycerol phosphate synthase [EC:4.1.1.48]	K01609
K01610						phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]	K01610
K01611						S-adenosylmethionine decarboxylase [EC:4.1.1.50]	K01611
K01612						vanillate/4-hydroxybenzoate decarboxylase subunit C [EC:4.1.1.- 4.1.1.61]	K01612
K01613						phosphatidylserine decarboxylase [EC:4.1.1.65]	K01613
K01616						2-oxoglutarate decarboxylase [EC:4.1.1.71]	K01616
K01617						2-oxo-3-hexenedioate decarboxylase [EC:4.1.1.77]	K01617
K01619						deoxyribose-phosphate aldolase [EC:4.1.2.4]	K01619
K01620						threonine aldolase [EC:4.1.2.48]	K01620
K01621						xylulose-5-phosphate/fructose-6-phosphate phosphoketolase [EC:4.1.2.9 4.1.2.22]	K01621
K01623						"fructose-bisphosphate aldolase, class I [EC:4.1.2.13]"	K01623
K01624						"fructose-bisphosphate aldolase, class II [EC:4.1.2.13]"	K01624
K01625						2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42]	K01625
K01626						3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]	K01626
K01627						2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase) [EC:2.5.1.55]	K01627
K01628						L-fuculose-phosphate aldolase [EC:4.1.2.17]	K01628
K01631						2-dehydro-3-deoxyphosphogalactonate aldolase [EC:4.1.2.21]	K01631
K01633						"7,8-dihydroneopterin aldolase/epimerase/oxygenase [EC:4.1.2.25 5.1.99.8 1.13.11.81]"	K01633
K01634						sphinganine-1-phosphate aldolase [EC:4.1.2.27]	K01634
K01635						"tagatose 1,6-diphosphate aldolase [EC:4.1.2.40]"	K01635
K01637						isocitrate lyase [EC:4.1.3.1]	K01637
K01638						malate synthase [EC:2.3.3.9]	K01638
K01639						N-acetylneuraminate lyase [EC:4.1.3.3]	K01639
K01640						hydroxymethylglutaryl-CoA lyase [EC:4.1.3.4]	K01640
K01641						hydroxymethylglutaryl-CoA synthase [EC:2.3.3.10]	K01641
K01643						citrate lyase subunit alpha / citrate CoA-transferase [EC:2.8.3.10]	K01643
K01644						citrate lyase subunit beta / citryl-CoA lyase [EC:4.1.3.34]	K01644
K01646						citrate lyase subunit gamma (acyl carrier protein)	K01646
K01647						citrate synthase [EC:2.3.3.1]	K01647
K01648						ATP citrate (pro-S)-lyase [EC:2.3.3.8]	K01648
K01649						2-isopropylmalate synthase [EC:2.3.3.13]	K01649
K01652						acetolactate synthase I/II/III large subunit [EC:2.2.1.6]	K01652
K01653						acetolactate synthase I/III small subunit [EC:2.2.1.6]	K01653
K01654						N-acetylneuraminate synthase [EC:2.5.1.56]	K01654
K01655						homocitrate synthase [EC:2.3.3.14]	K01655
K01657						anthranilate synthase component I [EC:4.1.3.27]	K01657
K01658						anthranilate synthase component II [EC:4.1.3.27]	K01658
K01659						2-methylcitrate synthase [EC:2.3.3.5]	K01659
K01661						naphthoate synthase [EC:4.1.3.36]	K01661
K01662						1-deoxy-D-xylulose-5-phosphate synthase [EC:2.2.1.7]	K01662
K01663						imidazole glycerol-phosphate synthase [EC:4.3.2.10]	K01663
K01664						para-aminobenzoate synthetase component II [EC:2.6.1.85]	K01664
K01665						para-aminobenzoate synthetase component I [EC:2.6.1.85]	K01665
K01666						4-hydroxy 2-oxovalerate aldolase [EC:4.1.3.39]	K01666
K01667						tryptophanase [EC:4.1.99.1]	K01667
K01669						deoxyribodipyrimidine photo-lyase [EC:4.1.99.3]	K01669
K01671						sulfofructosephosphate aldolase [EC:4.1.2.57]	K01671
K01673						carbonic anhydrase [EC:4.2.1.1]	K01673
K01674						carbonic anhydrase [EC:4.2.1.1]	K01674
K01676						"fumarate hydratase, class I [EC:4.2.1.2]"	K01676
K01677						fumarate hydratase subunit alpha [EC:4.2.1.2]	K01677
K01678						fumarate hydratase subunit beta [EC:4.2.1.2]	K01678
K01679						"fumarate hydratase, class II [EC:4.2.1.2]"	K01679
K01681						aconitate hydratase [EC:4.2.1.3]	K01681
K01682						aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]	K01682
K01683						D-arabinonate dehydratase [EC:4.2.1.5]	K01683
K01684						galactonate dehydratase [EC:4.2.1.6]	K01684
K01685						altronate hydrolase [EC:4.2.1.7]	K01685
K01686						mannonate dehydratase [EC:4.2.1.8]	K01686
K01687						dihydroxy-acid dehydratase [EC:4.2.1.9]	K01687
K01689						enolase [EC:4.2.1.11]	K01689
K01690						phosphogluconate dehydratase [EC:4.2.1.12]	K01690
K01692						enoyl-CoA hydratase [EC:4.2.1.17]	K01692
K01693						imidazoleglycerol-phosphate dehydratase [EC:4.2.1.19]	K01693
K01695						tryptophan synthase alpha chain [EC:4.2.1.20]	K01695
K01696						tryptophan synthase beta chain [EC:4.2.1.20]	K01696
K01697						cystathionine beta-synthase [EC:4.2.1.22]	K01697
K01698						porphobilinogen synthase [EC:4.2.1.24]	K01698
K01699						propanediol dehydratase large subunit [EC:4.2.1.28]	K01699
K01703						3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit [EC:4.2.1.33 4.2.1.35]	K01703
K01704						3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit [EC:4.2.1.33 4.2.1.35]	K01704
K01705						homoaconitate hydratase [EC:4.2.1.36]	K01705
K01706						glucarate dehydratase [EC:4.2.1.40]	K01706
K01707						5-dehydro-4-deoxyglucarate dehydratase [EC:4.2.1.41]	K01707
K01708						galactarate dehydratase [EC:4.2.1.42]	K01708
K01709						"CDP-glucose 4,6-dehydratase [EC:4.2.1.45]"	K01709
K01710						"dTDP-glucose 4,6-dehydratase [EC:4.2.1.46]"	K01710
K01711						"GDPmannose 4,6-dehydratase [EC:4.2.1.47]"	K01711
K01712						urocanate hydratase [EC:4.2.1.49]	K01712
K01713						cyclohexadienyl dehydratase [EC:4.2.1.51 4.2.1.91]	K01713
K01714						4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]	K01714
K01715						enoyl-CoA hydratase [EC:4.2.1.17]	K01715
K01716						3-hydroxyacyl-[acyl-carrier protein] dehydratase / trans-2-decenoyl-[acyl-carrier protein] isomerase [EC:4.2.1.59 5.3.3.14]	K01716
K01719						uroporphyrinogen-III synthase [EC:4.2.1.75]	K01719
K01720						2-methylcitrate dehydratase [EC:4.2.1.79]	K01720
K01721						nitrile hydratase subunit alpha [EC:4.2.1.84]	K01721
K01724						4a-hydroxytetrahydrobiopterin dehydratase [EC:4.2.1.96]	K01724
K01725						cyanate lyase [EC:4.2.1.104]	K01725
K01726						gamma-carbonic anhydrase [EC:4.2.1.-]	K01726
K01728						pectate lyase [EC:4.2.2.2]	K01728
K01729						poly(beta-D-mannuronate) lyase [EC:4.2.2.3]	K01729
K01730						oligogalacturonide lyase [EC:4.2.2.6]	K01730
K01733						threonine synthase [EC:4.2.3.1]	K01733
K01734						methylglyoxal synthase [EC:4.2.3.3]	K01734
K01735						3-dehydroquinate synthase [EC:4.2.3.4]	K01735
K01736						chorismate synthase [EC:4.2.3.5]	K01736
K01737						6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]	K01737
K01738						cysteine synthase [EC:2.5.1.47]	K01738
K01739						cystathionine gamma-synthase [EC:2.5.1.48]	K01739
K01740						O-acetylhomoserine (thiol)-lyase [EC:2.5.1.49]	K01740
K01744						aspartate ammonia-lyase [EC:4.3.1.1]	K01744
K01745						histidine ammonia-lyase [EC:4.3.1.3]	K01745
K01749						hydroxymethylbilane synthase [EC:2.5.1.61]	K01749
K01750						ornithine cyclodeaminase [EC:4.3.1.12]	K01750
K01751						diaminopropionate ammonia-lyase [EC:4.3.1.15]	K01751
K01752						L-serine dehydratase [EC:4.3.1.17]	K01752
K01753						D-serine dehydratase [EC:4.3.1.18]	K01753
K01754						threonine dehydratase [EC:4.3.1.19]	K01754
K01755						argininosuccinate lyase [EC:4.3.2.1]	K01755
K01756						adenylosuccinate lyase [EC:4.3.2.2]	K01756
K01758						cystathionine gamma-lyase [EC:4.4.1.1]	K01758
K01759						lactoylglutathione lyase [EC:4.4.1.5]	K01759
K01760						cysteine-S-conjugate beta-lyase [EC:4.4.1.13]	K01760
K01761						methionine-gamma-lyase [EC:4.4.1.11]	K01761
K01764						cytochrome c heme-lyase [EC:4.4.1.17]	K01764
K01768						adenylate cyclase [EC:4.6.1.1]	K01768
K01770						"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [EC:4.6.1.12]"	K01770
K01771						1-phosphatidylinositol phosphodiesterase [EC:4.6.1.13]	K01771
K01772						protoporphyrin/coproporphyrin ferrochelatase [EC:4.99.1.1 4.99.1.9]	K01772
K01775						alanine racemase [EC:5.1.1.1]	K01775
K01776						glutamate racemase [EC:5.1.1.3]	K01776
K01777						proline racemase [EC:5.1.1.4]	K01777
K01778						diaminopimelate epimerase [EC:5.1.1.7]	K01778
K01779						aspartate racemase [EC:5.1.1.13]	K01779
K01781						mandelate racemase [EC:5.1.2.2]	K01781
K01782						3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase [EC:1.1.1.35 4.2.1.17 5.1.2.3]	K01782
K01783						ribulose-phosphate 3-epimerase [EC:5.1.3.1]	K01783
K01784						UDP-glucose 4-epimerase [EC:5.1.3.2]	K01784
K01785						aldose 1-epimerase [EC:5.1.3.3]	K01785
K01787						N-acylglucosamine 2-epimerase [EC:5.1.3.8]	K01787
K01788						N-acylglucosamine-6-phosphate 2-epimerase [EC:5.1.3.9]	K01788
K01790						"dTDP-4-dehydrorhamnose 3,5-epimerase [EC:5.1.3.13]"	K01790
K01791						UDP-N-acetylglucosamine 2-epimerase (non-hydrolysing) [EC:5.1.3.14]	K01791
K01792						glucose-6-phosphate 1-epimerase [EC:5.1.3.15]	K01792
K01793						heparosan-N-sulfate-glucuronate 5-epimerase [EC:5.1.3.17]	K01793
K01795						mannuronan 5-epimerase [EC:5.1.3.37]	K01795
K01796						alpha-methylacyl-CoA racemase [EC:5.1.99.4]	K01796
K01798						Alr-MurF fusion protein [EC:5.1.1.1 6.3.2.10]	K01798
K01799						maleate isomerase [EC:5.2.1.1]	K01799
K01800						maleylacetoacetate isomerase [EC:5.2.1.2]	K01800
K01801						maleylpyruvate isomerase [EC:5.2.1.4]	K01801
K01802						peptidylprolyl isomerase [EC:5.2.1.8]	K01802
K01803						triosephosphate isomerase (TIM) [EC:5.3.1.1]	K01803
K01804						L-arabinose isomerase [EC:5.3.1.4]	K01804
K01805						xylose isomerase [EC:5.3.1.5]	K01805
K01807						ribose 5-phosphate isomerase A [EC:5.3.1.6]	K01807
K01808						ribose 5-phosphate isomerase B [EC:5.3.1.6]	K01808
K01809						mannose-6-phosphate isomerase [EC:5.3.1.8]	K01809
K01810						glucose-6-phosphate isomerase [EC:5.3.1.9]	K01810
K01811						alpha-D-xyloside xylohydrolase [EC:3.2.1.177]	K01811
K01812						glucuronate isomerase [EC:5.3.1.12]	K01812
K01813						L-rhamnose isomerase [EC:5.3.1.14]	K01813
K01814						phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase [EC:5.3.1.16]	K01814
K01815						4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase [EC:5.3.1.17]	K01815
K01816						hydroxypyruvate isomerase [EC:5.3.1.22]	K01816
K01817						phosphoribosylanthranilate isomerase [EC:5.3.1.24]	K01817
K01818						L-fucose/D-arabinose isomerase [EC:5.3.1.25 5.3.1.3]	K01818
K01820						L-rhamnose isomerase / sugar isomerase [EC:5.3.1.14 5.3.1.-]	K01820
K01821						4-oxalocrotonate tautomerase [EC:5.3.2.6]	K01821
K01822						steroid Delta-isomerase [EC:5.3.3.1]	K01822
K01823						isopentenyl-diphosphate Delta-isomerase [EC:5.3.3.2]	K01823
K01824						cholestenol Delta-isomerase [EC:5.3.3.5]	K01824
K01825						3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase / enoyl-CoA isomerase [EC:1.1.1.35 4.2.1.17 5.1.2.3 5.3.3.8]	K01825
K01826						5-carboxymethyl-2-hydroxymuconate isomerase [EC:5.3.3.10]	K01826
K01834						"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]"	K01834
K01835						phosphoglucomutase [EC:5.4.2.2]	K01835
K01836						phosphoacetylglucosamine mutase [EC:5.4.2.3]	K01836
K01838						beta-phosphoglucomutase [EC:5.4.2.6]	K01838
K01839						phosphopentomutase [EC:5.4.2.7]	K01839
K01840						phosphomannomutase [EC:5.4.2.8]	K01840
K01841						phosphoenolpyruvate phosphomutase [EC:5.4.2.9]	K01841
K01843						"lysine 2,3-aminomutase [EC:5.4.3.2]"	K01843
K01844						"beta-lysine 5,6-aminomutase alpha subunit [EC:5.4.3.3]"	K01844
K01845						"glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]"	K01845
K01846						methylaspartate mutase sigma subunit [EC:5.4.99.1]	K01846
K01847						methylmalonyl-CoA mutase [EC:5.4.99.2]	K01847
K01848						"methylmalonyl-CoA mutase, N-terminal domain [EC:5.4.99.2]"	K01848
K01849						"methylmalonyl-CoA mutase, C-terminal domain [EC:5.4.99.2]"	K01849
K01850						chorismate mutase [EC:5.4.99.5]	K01850
K01852						lanosterol synthase [EC:5.4.99.7]	K01852
K01854						UDP-galactopyranose mutase [EC:5.4.99.9]	K01854
K01855						tRNA pseudouridine38/39 synthase [EC:5.4.99.45]	K01855
K01856						muconate cycloisomerase [EC:5.5.1.1]	K01856
K01857						"3-carboxy-cis,cis-muconate cycloisomerase [EC:5.5.1.2]"	K01857
K01858						myo-inositol-1-phosphate synthase [EC:5.5.1.4]	K01858
K01865						(hydroxyamino)benzene mutase [EC:5.4.4.1]	K01865
K01866						tyrosyl-tRNA synthetase [EC:6.1.1.1]	K01866
K01867						tryptophanyl-tRNA synthetase [EC:6.1.1.2]	K01867
K01868						threonyl-tRNA synthetase [EC:6.1.1.3]	K01868
K01869						leucyl-tRNA synthetase [EC:6.1.1.4]	K01869
K01870						isoleucyl-tRNA synthetase [EC:6.1.1.5]	K01870
K01872						alanyl-tRNA synthetase [EC:6.1.1.7]	K01872
K01873						valyl-tRNA synthetase [EC:6.1.1.9]	K01873
K01874						methionyl-tRNA synthetase [EC:6.1.1.10]	K01874
K01875						seryl-tRNA synthetase [EC:6.1.1.11]	K01875
K01876						aspartyl-tRNA synthetase [EC:6.1.1.12]	K01876
K01878						glycyl-tRNA synthetase alpha chain [EC:6.1.1.14]	K01878
K01879						glycyl-tRNA synthetase beta chain [EC:6.1.1.14]	K01879
K01880						glycyl-tRNA synthetase [EC:6.1.1.14]	K01880
K01881						prolyl-tRNA synthetase [EC:6.1.1.15]	K01881
K01883						cysteinyl-tRNA synthetase [EC:6.1.1.16]	K01883
K01884						"cysteinyl-tRNA synthetase, unknown class [EC:6.1.1.16]"	K01884
K01885						glutamyl-tRNA synthetase [EC:6.1.1.17]	K01885
K01886						glutaminyl-tRNA synthetase [EC:6.1.1.18]	K01886
K01887						arginyl-tRNA synthetase [EC:6.1.1.19]	K01887
K01889						phenylalanyl-tRNA synthetase alpha chain [EC:6.1.1.20]	K01889
K01890						phenylalanyl-tRNA synthetase beta chain [EC:6.1.1.20]	K01890
K01892						histidyl-tRNA synthetase [EC:6.1.1.21]	K01892
K01893						asparaginyl-tRNA synthetase [EC:6.1.1.22]	K01893
K01894						glutamyl-Q tRNA(Asp) synthetase [EC:6.1.1.-]	K01894
K01895						acetyl-CoA synthetase [EC:6.2.1.1]	K01895
K01897						long-chain acyl-CoA synthetase [EC:6.2.1.3]	K01897
K01900						succinyl-CoA synthetase beta subunit [EC:6.2.1.4 6.2.1.5]	K01900
K01902						succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	K01902
K01903						succinyl-CoA synthetase beta subunit [EC:6.2.1.5]	K01903
K01904						4-coumarate--CoA ligase [EC:6.2.1.12]	K01904
K01905						acetate---CoA ligase (ADP-forming) subunit alpha [EC:6.2.1.13]	K01905
K01906						6-carboxyhexanoate--CoA ligase [EC:6.2.1.14]	K01906
K01907						acetoacetyl-CoA synthetase [EC:6.2.1.16]	K01907
K01908						propionyl-CoA synthetase [EC:6.2.1.17]	K01908
K01909						long-chain-fatty-acid--[acyl-carrier-protein] ligase [EC:6.2.1.20]	K01909
K01911						o-succinylbenzoate---CoA ligase [EC:6.2.1.26]	K01911
K01912						phenylacetate-CoA ligase [EC:6.2.1.30]	K01912
K01915						glutamine synthetase [EC:6.3.1.2]	K01915
K01916						NAD+ synthase [EC:6.3.1.5]	K01916
K01918						pantoate--beta-alanine ligase [EC:6.3.2.1]	K01918
K01919						glutamate--cysteine ligase [EC:6.3.2.2]	K01919
K01920						glutathione synthase [EC:6.3.2.3]	K01920
K01921						D-alanine-D-alanine ligase [EC:6.3.2.4]	K01921
K01922						phosphopantothenate---cysteine ligase (ATP) [EC:6.3.2.51]	K01922
K01923						phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:6.3.2.6]	K01923
K01924						UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8]	K01924
K01925						UDP-N-acetylmuramoylalanine--D-glutamate ligase [EC:6.3.2.9]	K01925
K01926						redox-sensing transcriptional repressor	K01926
K01928						"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase [EC:6.3.2.13]"	K01928
K01929						UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [EC:6.3.2.10]	K01929
K01930						folylpolyglutamate synthase [EC:6.3.2.17]	K01930
K01932						gamma-polyglutamate synthase [EC:6.3.2.-]	K01932
K01933						phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1]	K01933
K01934						5-formyltetrahydrofolate cyclo-ligase [EC:6.3.3.2]	K01934
K01935						dethiobiotin synthetase [EC:6.3.3.3]	K01935
K01937						CTP synthase [EC:6.3.4.2]	K01937
K01938						formate--tetrahydrofolate ligase [EC:6.3.4.3]	K01938
K01939						adenylosuccinate synthase [EC:6.3.4.4]	K01939
K01940						argininosuccinate synthase [EC:6.3.4.5]	K01940
K01941						urea carboxylase [EC:6.3.4.6]	K01941
K01942						biotin---protein ligase [EC:6.3.4.9 6.3.4.10 6.3.4.11 6.3.4.15]	K01942
K01945						phosphoribosylamine---glycine ligase [EC:6.3.4.13]	K01945
K01949						glutamate---methylamine ligase [EC:6.3.4.12]	K01949
K01950						NAD+ synthase (glutamine-hydrolysing) [EC:6.3.5.1]	K01950
K01951						GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]	K01951
K01952						phosphoribosylformylglycinamidine synthase [EC:6.3.5.3]	K01952
K01953						asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]	K01953
K01955						carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]	K01955
K01956						carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]	K01956
K01958						pyruvate carboxylase [EC:6.4.1.1]	K01958
K01961						"acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]"	K01961
K01962						acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:6.4.1.2 2.1.3.15]	K01962
K01963						acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2 2.1.3.15]	K01963
K01965						propionyl-CoA carboxylase alpha chain [EC:6.4.1.3]	K01965
K01966						propionyl-CoA carboxylase beta chain [EC:6.4.1.3 2.1.3.15]	K01966
K01968						3-methylcrotonyl-CoA carboxylase alpha subunit [EC:6.4.1.4]	K01968
K01969						3-methylcrotonyl-CoA carboxylase beta subunit [EC:6.4.1.4]	K01969
K01970						acyl-CoA carboxylase subunit beta [EC:6.4.1.-]	K01970
K01971						bifunctional non-homologous end joining protein LigD [EC:6.5.1.1]	K01971
K01972						DNA ligase (NAD+) [EC:6.5.1.2]	K01972
K01974						RNA 3'-terminal phosphate cyclase (ATP) [EC:6.5.1.4]	K01974
K01975						"RNA 2',3'-cyclic 3'-phosphodiesterase [EC:3.1.4.58]"	K01975
K01989						putative tryptophan/tyrosine transport system substrate-binding protein	K01989
K01990						ABC-2 type transport system ATP-binding protein	K01990
K01991						polysaccharide biosynthesis/export protein	K01991
K01992						ABC-2 type transport system permease protein	K01992
K01993						HlyD family secretion protein	K01993
K01994						"LuxR family transcriptional regulator, transcriptional regulator of spore coat protein"	K01994
K01995						branched-chain amino acid transport system ATP-binding protein	K01995
K01996						branched-chain amino acid transport system ATP-binding protein	K01996
K01997						branched-chain amino acid transport system permease protein	K01997
K01998						branched-chain amino acid transport system permease protein	K01998
K01999						branched-chain amino acid transport system substrate-binding protein	K01999
K02000						glycine betaine/proline transport system ATP-binding protein [EC:7.6.2.9]	K02000
K02001						glycine betaine/proline transport system permease protein	K02001
K02002						glycine betaine/proline transport system substrate-binding protein	K02002
K02003						putative ABC transport system ATP-binding protein	K02003
K02004						putative ABC transport system permease protein	K02004
K02005						HlyD family secretion protein	K02005
K02006						cobalt/nickel transport system ATP-binding protein	K02006
K02007						cobalt/nickel transport system permease protein	K02007
K02008						cobalt/nickel transport system permease protein	K02008
K02010						iron(III) transport system ATP-binding protein [EC:7.2.2.7]	K02010
K02011						iron(III) transport system permease protein	K02011
K02012						iron(III) transport system substrate-binding protein	K02012
K02013						iron complex transport system ATP-binding protein [EC:7.2.2.-]	K02013
K02014						iron complex outermembrane recepter protein	K02014
K02015						iron complex transport system permease protein	K02015
K02016						iron complex transport system substrate-binding protein	K02016
K02017						molybdate transport system ATP-binding protein [EC:7.3.2.5]	K02017
K02018						molybdate transport system permease protein	K02018
K02019						molybdate transport system regulatory protein	K02019
K02020						molybdate transport system substrate-binding protein	K02020
K02021						putative ABC transport system ATP-binding protein	K02021
K02022						HlyD family secretion protein	K02022
K02024						maltoporin	K02024
K02025						multiple sugar transport system permease protein	K02025
K02026						multiple sugar transport system permease protein	K02026
K02027						multiple sugar transport system substrate-binding protein	K02027
K02028						polar amino acid transport system ATP-binding protein [EC:7.4.2.1]	K02028
K02029						polar amino acid transport system permease protein	K02029
K02030						polar amino acid transport system substrate-binding protein	K02030
K02031						peptide/nickel transport system ATP-binding protein	K02031
K02032						peptide/nickel transport system ATP-binding protein	K02032
K02033						peptide/nickel transport system permease protein	K02033
K02034						peptide/nickel transport system permease protein	K02034
K02035						peptide/nickel transport system substrate-binding protein	K02035
K02036						phosphate transport system ATP-binding protein [EC:7.3.2.1]	K02036
K02037						phosphate transport system permease protein	K02037
K02038						phosphate transport system permease protein	K02038
K02039						phosphate transport system protein	K02039
K02040						phosphate transport system substrate-binding protein	K02040
K02041						phosphonate transport system ATP-binding protein [EC:7.3.2.2]	K02041
K02042						phosphonate transport system permease protein	K02042
K02043						"GntR family transcriptional regulator, phosphonate transport system regulatory protein"	K02043
K02044						phosphonate transport system substrate-binding protein	K02044
K02045						sulfate/thiosulfate transport system ATP-binding protein [EC:7.3.2.3]	K02045
K02046						sulfate/thiosulfate transport system permease protein	K02046
K02047						sulfate/thiosulfate transport system permease protein	K02047
K02048						sulfate/thiosulfate transport system substrate-binding protein	K02048
K02049						NitT/TauT family transport system ATP-binding protein	K02049
K02050						NitT/TauT family transport system permease protein	K02050
K02051						NitT/TauT family transport system substrate-binding protein	K02051
K02052						putative spermidine/putrescine transport system ATP-binding protein	K02052
K02053						putative spermidine/putrescine transport system permease protein	K02053
K02054						putative spermidine/putrescine transport system permease protein	K02054
K02055						putative spermidine/putrescine transport system substrate-binding protein	K02055
K02056						simple sugar transport system ATP-binding protein [EC:7.5.2.-]	K02056
K02057						simple sugar transport system permease protein	K02057
K02058						simple sugar transport system substrate-binding protein	K02058
K02062						thiamine transport system ATP-binding protein [EC:7.6.2.15]	K02062
K02063						thiamine transport system permease protein	K02063
K02064						thiamine transport system substrate-binding protein	K02064
K02065						phospholipid/cholesterol/gamma-HCH transport system ATP-binding protein	K02065
K02066						phospholipid/cholesterol/gamma-HCH transport system permease protein	K02066
K02067						phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein	K02067
K02068						putative ABC transport system ATP-binding protein	K02068
K02069						putative ABC transport system permease protein	K02069
K02071						D-methionine transport system ATP-binding protein	K02071
K02072						D-methionine transport system permease protein	K02072
K02073						D-methionine transport system substrate-binding protein	K02073
K02074						zinc/manganese transport system ATP-binding protein	K02074
K02075						zinc/manganese transport system permease protein	K02075
K02077						zinc/manganese transport system substrate-binding protein	K02077
K02078						acyl carrier protein	K02078
K02081						"DeoR family transcriptional regulator, aga operon transcriptional repressor"	K02081
K02082						tagatose-6-phosphate ketose/aldose isomerase [EC:5.-.-.-]	K02082
K02083						allantoate deiminase [EC:3.5.3.9]	K02083
K02084						apoptotic protease-activating factor	K02084
K02086						DNA replication protein	K02086
K02099						"AraC family transcriptional regulator, arabinose operon regulatory protein"	K02099
K02100						"MFS transporter, SP family, arabinose:H+ symporter"	K02100
K02103						"GntR family transcriptional regulator, arabinose operon transcriptional repressor"	K02103
K02106						short-chain fatty acids transporter	K02106
K02107						V/A-type H+/Na+-transporting ATPase subunit G/H	K02107
K02108						F-type H+-transporting ATPase subunit a	K02108
K02109						F-type H+-transporting ATPase subunit b	K02109
K02110						F-type H+-transporting ATPase subunit c	K02110
K02111						F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2 7.2.2.1]	K02111
K02112						F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1]	K02112
K02113						F-type H+-transporting ATPase subunit delta	K02113
K02114						F-type H+-transporting ATPase subunit epsilon	K02114
K02115						F-type H+-transporting ATPase subunit gamma	K02115
K02116						ATP synthase protein I	K02116
K02117						V/A-type H+/Na+-transporting ATPase subunit A [EC:7.1.2.2 7.2.2.1]	K02117
K02120						V/A-type H+/Na+-transporting ATPase subunit D	K02120
